  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:08 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      2:13 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:15 [migration/0]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S     11:55 [rcu_sched]
   12 ?        S      0:33 [migration/1]
   13 ?        S      3:15 [ksoftirqd/1]
   15 ?        S<     0:00 [kworker/1:0H]
   17 ?        S      0:14 [migration/2]
   18 ?        S      1:32 [ksoftirqd/2]
   20 ?        S<     0:00 [kworker/2:0H]
   22 ?        S      0:33 [migration/3]
   23 ?        S      1:44 [ksoftirqd/3]
   25 ?        S<     0:00 [kworker/3:0H]
   27 ?        S      0:14 [migration/4]
   28 ?        S      1:27 [ksoftirqd/4]
   30 ?        S<     0:00 [kworker/4:0H]
   32 ?        S      0:33 [migration/5]
   33 ?        S      1:34 [ksoftirqd/5]
   35 ?        S<     0:00 [kworker/5:0H]
   37 ?        S      0:14 [migration/6]
   38 ?        S      1:27 [ksoftirqd/6]
   40 ?        S<     0:00 [kworker/6:0H]
   42 ?        S      0:33 [migration/7]
   43 ?        S      1:53 [ksoftirqd/7]
   45 ?        S<     0:00 [kworker/7:0H]
   46 ?        S<     0:00 [khelper]
   47 ?        S      0:00 [kdevtmpfs]
   48 ?        S<     0:00 [netns]
   49 ?        S<     0:00 [writeback]
   50 ?        S<     0:00 [kintegrityd]
   51 ?        S<     0:00 [bioset]
   53 ?        S<     0:00 [kblockd]
   54 ?        S<     0:00 [ata_sff]
   55 ?        S      0:15 [khubd]
   56 ?        S<     0:00 [md]
   57 ?        S<     0:00 [devfreq_wq]
   62 ?        S      0:00 [khungtaskd]
   63 ?        S     18:26 [kswapd0]
   64 ?        SN     0:00 [ksmd]
   65 ?        SN     0:00 [khugepaged]
   66 ?        S      0:00 [fsnotify_mark]
   67 ?        S      0:00 [ecryptfs-kthrea]
   68 ?        S<     0:00 [crypto]
   80 ?        S<     0:00 [kthrotld]
  104 ?        S<     0:00 [deferwq]
  105 ?        S<     0:00 [charger_manager]
  162 ?        S<     0:00 [kpsmoused]
  164 ?        S<     0:00 [firewire]
  190 ?        S      0:00 [scsi_eh_0]
  191 ?        S      0:00 [scsi_eh_1]
  192 ?        S      0:00 [scsi_eh_2]
  193 ?        S      0:00 [scsi_eh_3]
  194 ?        S      0:00 [scsi_eh_4]
  195 ?        S      0:00 [scsi_eh_5]
  293 ?        S      0:19 [jbd2/sda1-8]
  294 ?        S<     0:00 [ext4-rsv-conver]
  295 ?        S<     0:00 [ext4-unrsv-conv]
  468 ?        S      0:01 upstart-udev-bridge --daemon
  472 ?        Ss     0:01 /lib/systemd/systemd-udevd --daemon
  677 ?        Sl     2:16 /usr/bin/pulseaudio --start --log-target=syslog
